CO_NAME,Cline_Code,[Company Long Name,[Sector,[Industry
ACI Infocom,3396,ACI Infocom Ltd,IT - Software,Computers - Software - Medium / Small
Unno Industries,3399,Unno Industries Ltd,Finance,Finance - Investment / Others
Divya Jyoti Inds,3400,Divya Jyoti Industries Ltd,Edible Oil,Solvent Extraction - Medium / Small
Maniyar Plast,3402,Maniyar Plast Ltd,Packaging,Packaging - Polysacks
Raghuvir Synth,3404,Raghuvir Synthetics Ltd,Textiles,Textiles - Processing
Modern Dairies,3406,Modern Dairies Ltd,FMCG,Food And Dairy Products - Indian - Large
Viniyoga Clothex,3407,Viniyoga Clothex Ltd,Textiles,Textiles - Hosiery / Knitwear
Norris Medicines,3410,Norris Medicines Ltd,Trading,Trading - Medium / Small
SPML Infra,3413,SPML Infra Ltd,Realty,Construction - Civil / Turnkey - Large
Orient Press,3416,Orient Press Ltd,Packaging,Packaging - Lamination / Processors - Medium/Small
Elite Appliances,3420,Elite Appliances Ltd,Consumer Durables,Domestic Appliances - Cookers / Others
Rana Sugars,3422,Rana Sugars Ltd,Sugar,Sugar - Others
Bala Techno Glob,3423,Bala Techno Global Ltd,Trading,Trading - Medium / Small
Aarey Drugs,3427,Aarey Drugs & Pharmaceuticals Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs
Mphasis,3428,Mphasis Ltd,IT - Software,Computers - Software - Medium / Small
Anjani Portland,3430,Anjani Portland Cement Ltd,Cement,Cement - Mini - South India
Shreyas Interm.,3432,Shreyas Intermediates Ltd,Chemicals,Dyes - Intermediate
SpiceJet,3438,SpiceJet Ltd,Air Transport Service,Transport - Airlines
Panjon,3441,Panjon Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Formulations
Amarjothi Spg.,3443,Amarjothi Spinning Mills Ltd,Textiles,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg
SBEC Systems,3445,SBEC Systems (India) Ltd,Trading,Trading - Medium / Small
Neo Infracon,3446,Neo Infracon Ltd,Construction,Construction - Housing - Medium / Small
Bambino Agro Ind,3447,Bambino Agro Industries Ltd,FMCG,Food - Processing - Atta / Rava / Sooji
Mesco Pharma,3448,Mesco Pharmaceuticals Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln M/S
Tilaknagar Inds.,3449,Tilaknagar Industries Ltd,Alcoholic Beverages,Distilleries
Rakan Steels,3450,Rakan Steels Ltd,Steel,Steel - Wires
Dabur India,3452,Dabur India Ltd,FMCG,Personal Care - Indian - Large
Nirbhay Colours,3453,Nirbhay Colours India Ltd,Miscellaneous,Miscellaneous - Medium / Small
U P Miner. Prod.,3456,U P Mineral Products Ltd,Trading,Trading - Medium / Small
Vikas Wsp,3458,Vikas Wsp Ltd,Chemicals,Chemicals - Speciality - Large
Advance Multi.,3460,Advance Multitech Ltd,Plantation & Plantation Products,Rubber - Products
Sobhagya Mercant,3461,Sobhagya Mercantile Ltd,Finance,Finance - Small
Nachmo Knitex,3463,Nachmo Knitex Ltd,Textiles,Textiles - Hosiery / Knitwear
Suvarna Aqua,3464,Suvarna Aqua Farm & Exports Ltd,Miscellaneous,Aquaculture
Asha Agro Inds,3465,Asha Agro Industries Ltd,Edible Oil,Solvent Extraction - Medium / Small
Gujarat Intrux,3468,Gujarat Intrux Ltd,Steel,Steel - Medium / Small
Duropack,3469,Duropack Ltd,Packaging,Packaging - Others
Shristi Infra,3471,Shristi Infrastructure Development Corporation Ltd,Realty,Construction - Factories / Offices / Commercial
Genesis IBRC,3475,Genesis IBRC India Ltd,Miscellaneous,Miscellaneous - Medium / Small
Crest Ventures,3476,Crest Ventures Ltd,Finance,Finance - Investment / Others
Camex,3478,Camex Ltd,Chemicals,Dyes - Intermediate
Amrapali Inds.,3479,Amrapali Industries Ltd,Trading,Trading - Large
Frontier Springs,3482,Frontier Springs Ltd,Auto Ancillaries,Auto Ancillaries - Springs
Divyashakti Gran,3484,Divyashakti Granites Ltd,Miscellaneous,Granite & Marble - Large
Olympia Industri,3489,Olympia Industries Ltd,E-Commerce/App based Aggregator,Trading - Medium / Small
Prime Industries,3490,Prime Industries Ltd,Finance,Finance - Investment / Others
Incap,3492,Incap Ltd,Consumer Durables,Electronics - Capacitors
H-Lon Hosiery,3495,H-Lon Hosiery Ltd,Textiles,Textiles - Socks
Evexia Lifecare,3496,Evexia Lifecare Ltd,Chemicals,Lubricants
Pashupati Seohun,3497,Pashupati Seohung Ltd,Miscellaneous,Contraceptives / Protectives
Ganesh Housing,3498,Ganesh Housing Corporation Ltd,Construction,Construction - Housing - Medium / Small
One Global Serv,3499,One Global Service Provider Ltd,Textiles,Textiles - Texturising
Monatana Intl.,3500,Monatana International Ltd,Ceramic Products,Ceramics - Sanitaryware / Others
Electrex India,3501,Electrex India Ltd,Capital Goods-Non Electrical Equipment,Machine Tools - Others
Igarashi Motors,3502,Igarashi Motors India Ltd,Auto Ancillaries,Auto Ancillaries - Others
Swarnsarita Gems,3503,Swarnsarita Gems Ltd,"Diamond, Gems and Jewellery",Diamond Cutting / Jewellery - Medium / Small
Nagreeka Exports,3505,Nagreeka Exports Ltd,Textiles,Textiles - Cotton Yarn - 100% EOUs
Mewat Zinc,3506,Mewat Zinc Ltd,Non Ferrous Metals,Metal - Zinc
Praj Industries,3507,Praj Industries Ltd,Capital Goods-Non Electrical Equipment,Engineering - Heavy - General - Large
Rasandik Engg.,3511,Rasandik Engineering Industries India Ltd,Auto Ancillaries,Auto Ancillaries - Sheet Metal
Kartik Invest.,3512,Kartik Investments Trust Ltd,Finance,Finance - Small
Guj. Containers,3516,Gujarat Containers Ltd,Packaging,Packaging - Metallic
Kalyani Forge,3518,Kalyani Forge Ltd,"Castings, Forgings & Fastners",Forgings - Medium / Small
Symphony,3521,Symphony Ltd,Consumer Durables,Domestic Appliances - White Goods
Pittie Finance,3522,Pittie Finance Ltd,Finance,Finance - Small
Zenith Exports,3523,Zenith Exports Ltd,Textiles,Textiles - Others
Panchmahal Steel,3524,Panchmahal Steel Ltd,Steel,Steel - Medium / Small
Intecon (India),3526,Intecon (India) Ltd,IT - Hardware,Computers - Peripherals / Accessories
Gamma Infoway,3528,Gamma Infoway Exalt Ltd,IT - Software,Computers - Software - Converts
Suditi Industrie,3529,Suditi Industries Ltd,Textiles,Textiles - Hosiery / Knitwear
Chain Impex,3537,Chain Impex Ltd,Trading,Trading - Medium / Small
Leasing Finance,3538,Leasing Finance India Ltd,Finance,Finance - Small
Mahadev Corpn.,3540,Mahadev Corporation (India) Ltd,Finance,Finance - Small
Cindrella Hotels,3542,Cindrella Hotels Ltd,Hotels & Restaurants,Hotels - Small
JRI Industries,3544,JRI Industries & Infrastructure Ltd,Construction,Construction - Civil / Turnkey - Medium / Small
Vintron Info.,3546,Vintron Informatics Ltd,IT - Hardware,Computers - Peripherals / Accessories
Indian Sucrose,3547,Indian Sucrose Ltd,Sugar,Sugar - Others
Steelcast,3548,Steelcast Ltd,"Castings, Forgings & Fastners",Castings - Steel / Alloy
Pitti Engg.,3553,Pitti Engineering Ltd,Capital Goods-Non Electrical Equipment,Engineering - Light - General - Large
Hotline Glass,3554,Hotline Glass Ltd,Consumer Durables,Electronics - Picture Tubes - Glass Shells
Prism Mills,3558,Prism Mills Ltd,Textiles,Textiles - Texturising
Guj. Terce Labs.,3559,Gujarat Terce Laboratories Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Formulations
Savitri Overseas,3562,Savitri Overseas Ltd,Leather,Leather / Synthetic Footware - Medium / Small
S R Industries,3565,S R Industries Ltd,Leather,Leather / Synthetic Footware - Medium / Small
Punjab Iron,3566,Punjab Iron & Steel Co Ltd,Steel,Steel - Rolling
Winsome Yarns,3570,Winsome Yarns Ltd,Textiles,Textiles - Cotton Yarn - 100% EOUs
Dharendra Agro,3575,Dharnendra Agro Food Industries Ltd,Trading,Trading - Medium / Small
Yogi Infra Proj.,3576,Yogi Infra Projects Ltd,Construction,Construction - Housing - Medium / Small
Kirl. Ferrous,3578,Kirloskar Ferrous Industries Ltd,Steel,Steel - Pig Iron
Glittek Granites,3579,Glittek Granites Ltd,Miscellaneous,Granite & Marble - Large
Multicolour Off.,3582,Multicolour Offset Ltd,Media - Print/Television/Radio,Printing & Stationery
Shreeji Industri,3585,Shreeji Industries Ltd,Trading,Trading - Medium / Small
Envair Electrody,3587,Envair Electrodyne Ltd,Capital Goods-Non Electrical Equipment,Engineering - Light - General - Medium / Small
Pan Electronics,3591,Pan Electronics (India) Ltd,Consumer Durables,Electronics - Capacitors
VSF Projects,3593,VSF Projects Ltd,Construction,Construction - Civil / Turnkey - Medium / Small
Indo Euro Indch.,3598,Indo Euro Indchem Ltd,Chemicals,Dyes And Pigments - Medium / Small
Patel Integrated,3603,Patel Integrated Logistics Ltd,Logistics,Transport - Road
ATN Intl.,3605,ATN International Ltd,Finance,Finance - Investment / Others
Pradeep Metals,3606,Pradeep Metals Ltd,"Castings, Forgings & Fastners",Forgings - Medium / Small
Kohinoor Foods,3608,Kohinoor Foods Ltd,FMCG,Food - Proccesing - Rice
Premier Polyfilm,3609,Premier Polyfilm Ltd,Plastic products,Plastics - Sheets
Milk Partners,3612,Milk Partners India Ltd,FMCG,Food and Dairy Products - Indian - Medium / Small
Kukar Sons,3613,Kukar Sons (Indo French) Exports Ltd,FMCG,Personal Care - Indian - Medium / Small
Syncom Formul.,3616,Syncom Formulations (India) Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Formulations
Vakrangee,3617,Vakrangee Ltd,IT - Software,Computers - Software - Converts
Gujarat Perstorp,3619,Gujarat Perstorp Electronics Ltd,Miscellaneous,Laminates
Insta Finance,3622,Insta Finance Ltd,Finance,Finance - Small
Everlon Synth,3624,Everlon Synthetics Ltd,Textiles,Textiles - Texturising
Maruti Plastics,3627,Maruti Plastics Ltd,Packaging,Packaging - Polysacks
Esskay Pharma,3628,Esskay Pharmaceuticals Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Formulations
Alphageo (India),3629,Alphageo (India) Ltd,Oil Drill/Allied,Oil Exploration / Allied Services
Guj.Nat.Resour.,3630,Gujarat Natural Resources Ltd,Steel,Steel - Medium / Small
Ramasigns Indus.,3631,Ramasigns Industries Ltd,Miscellaneous,Laminates
VXL Instruments,3632,VXL Instruments Ltd,IT - Hardware,Computers - Hardware - Medium / Small
Sun Source (I),3633,Sun Source (India) Ltd,Power Generation & Distribution,Power Generation And Supply
Aditya Ispat,3634,Aditya Ispat Ltd,Steel,Steel - Medium / Small
Welspun Special.,3638,Welspun Specialty Solutions Ltd,Steel,Steel - Seamless Tubes
Shamken Spinners,3640,Shamken Spinners Ltd,Textiles,Textiles - Cotton Yarn - 100% EOUs
Ritesh Propertie,3641,Ritesh Properties & Industries Ltd,Textiles,Textiles - Others
Guj. Credit Corp,3643,Gujarat Credit Corporation Ltd,Finance,Finance - Small
Sharda Ispat,3645,Sharda Ispat Ltd,Steel,Steel - Rolling
Piccadily Sugar,3646,Piccadily Sugar & Allied Inds Ltd,Alcoholic Beverages,Distilleries
